,ds,yhat
946,2024-07-18,1405.9457119562603
947,2024-07-19,1411.3812898803317
948,2024-07-22,1423.957901840661
949,2024-07-23,1428.5204845916219
950,2024-07-24,1434.2788582410187
951,2024-07-25,1437.8353416016666
952,2024-07-26,1444.0113646127766
953,2024-07-29,1458.8945533222836
954,2024-07-30,1464.216777203045
955,2024-07-31,1470.7087916752125
956,2024-08-01,1474.9591694781764
957,2024-08-02,1481.775467101494
958,2024-08-05,1498.1248463358463
959,2024-08-06,1503.744448000837
960,2024-08-07,1510.4217088203682
961,2024-08-08,1514.7380315404616
962,2024-08-09,1521.4959457431887
963,2024-08-12,1536.9092137150838
964,2024-08-13,1541.9703170093744
965,2024-08-14,1547.975430252696
966,2024-08-16,1557.402660594498
967,2024-08-19,1569.7759531837326
968,2024-08-20,1573.7296526497018
969,2024-08-21,1578.6057931833348
970,2024-08-22,1581.0098304333303
971,2024-08-23,1585.7694640974846
972,2024-08-26,1594.925684727652
973,2024-08-28,1601.8386396005817
974,2024-08-29,1603.3674070539603
975,2024-08-30,1607.308074498541
976,2024-08-31,1602.9464794649568
977,2024-09-01,1617.1078810551753
978,2024-09-02,1614.3090688809434
979,2024-09-03,1616.636651676474
980,2024-09-04,1619.9632797221666
981,2024-09-05,1620.8853990809587
982,2024-09-06,1624.2184801153362
983,2024-09-07,1619.2358804403805
984,2024-09-08,1632.7506304286692
985,2024-09-09,1629.2680325840338
986,2024-09-10,1630.864427175768
987,2024-09-11,1633.4038628961134
988,2024-09-12,1633.4762557737488
989,2024-09-13,1635.89296511195
990,2024-09-14,1629.9259344145898
991,2024-09-15,1642.3896751277573
992,2024-09-16,1637.793976480213
993,2024-09-17,1638.2226883148192
994,2024-09-18,1639.5503129230212
995,2024-09-19,1638.3799892424229
996,2024-09-20,1639.5388012373892
997,2024-09-21,1632.3165643615787
998,2024-09-22,1643.5473766172174
999,2024-09-23,1637.7618287221378
1000,2024-09-24,1637.0652337481356
1001,2024-09-25,1637.353627592617
1002,2024-09-26,1635.251140443504
1003,2024-09-27,1635.6046888285343
1004,2024-09-28,1627.7221603749424
1005,2024-09-29,1638.4533959427972
1006,2024-09-30,1632.341881167338
1007,2024-10-01,1631.5025241456065
1008,2024-10-02,1631.8372853404517
1009,2024-10-03,1629.972272450401
1010,2024-10-04,1630.7522598934606
1011,2024-10-05,1623.4788122186314
1012,2024-10-06,1634.9913201684392
1013,2024-10-07,1629.8188621897918
1014,2024-10-08,1630.0582655186715
1015,2024-10-09,1631.590126953256
1016,2024-10-10,1631.0163968790785
1017,2024-10-11,1633.1554740047166
1018,2024-10-12,1627.2809752358328
1019,2024-10-13,1640.203472225302
1020,2024-10-14,1636.42308837815
1021,2024-10-15,1638.0083101135003
1022,2024-10-16,1640.8127514423486
1023,2024-10-17,1641.413454240641
1024,2024-10-18,1644.6066509754692
1025,2024-10-19,1639.6471347052259
1026,2024-10-20,1653.3305099608622
1027,2024-10-21,1650.1462025765738
1028,2024-10-22,1652.1565692662573
1029,2024-10-23,1655.2138361168654
1030,2024-10-24,1655.8984419342003
1031,2024-10-25,1659.0147104311113
1032,2024-10-26,1653.8299971137412
1033,2024-10-27,1667.1565893278132
1034,2024-10-28,1663.5042461173025
1035,2024-10-29,1664.9587308013367
1036,2024-10-30,1667.398080770294
1037,2024-10-31,1667.4302085831114
1038,2024-11-01,1669.8877788290363
1039,2024-11-02,1664.0665288456507
1040,2024-11-03,1676.8063351362784
1041,2024-11-04,1672.6429360016282
1042,2024-11-05,1673.6856869548787
1043,2024-11-06,1675.8331161999718
1044,2024-11-07,1675.7098954842224
1045,2024-11-08,1678.1611898352212
1046,2024-11-09,1672.4905705690323
1047,2024-11-10,1685.5408064513595
1048,2024-11-11,1681.845452897882
1049,2024-11-12,1683.5066211757137
1050,2024-11-13,1686.4106960990332
1051,2024-11-14,1687.1656144792537
1052,2024-11-15,1690.5956605685499
1053,2024-11-16,1685.9799515482423
1054,2024-11-17,1700.1339128257307
1055,2024-11-18,1697.5616445166618
1056,2024-11-19,1700.334539664981
1057,2024-11-20,1704.307898965333
1058,2024-11-21,1706.0591288559065
1059,2024-11-22,1710.3834528708385
1060,2024-11-23,1706.5332827408554
1061,2024-11-24,1721.300522988887
1062,2024-11-25,1719.1696856730002
1063,2024-11-26,1722.1971531227784
1064,2024-11-27,1726.2283134128681
1065,2024-11-28,1727.836138711879
1066,2024-11-29,1731.8171234684069
1067,2024-11-30,1727.4307202139703
1068,2024-12-01,1741.4815425307067
1069,2024-12-02,1738.4722123243944
1070,2024-12-03,1740.4821944599626
1071,2024-12-04,1743.384353347639
1072,2024-12-05,1743.7828158673094
1073,2024-12-06,1746.5080758996828
1074,2024-12-07,1740.8555001317156
1075,2024-12-08,1753.6665295839416
1076,2024-12-09,1749.4804812388134
1077,2024-12-10,1750.4123216687974
1078,2024-12-11,1752.368176903904
1079,2024-12-12,1751.982192565376
1080,2024-12-13,1754.1107083294526
1081,2024-12-14,1748.069933527938
1082,2024-12-15,1760.716443036909
1083,2024-12-16,1756.5984193880336
1084,2024-12-17,1757.8330307723527
1085,2024-12-18,1760.321722629487
1086,2024-12-19,1760.6870455634607
1087,2024-12-20,1763.7669873359473
1088,2024-12-21,1758.8529942473772
1089,2024-12-22,1772.770994366141
1090,2024-12-23,1770.0333367892526
1091,2024-12-24,1772.717020064168
1092,2024-12-25,1776.679966546277
1093,2024-12-26,1778.4989406697182
1094,2024-12-27,1782.9650509155176
1095,2024-12-28,1779.3229903552692
1096,2024-12-29,1794.3532961451958
1097,2024-12-30,1792.5255092729824
1098,2024-12-31,1795.8775749049657
1099,2025-01-01,1800.2332083163385
1100,2025-01-02,1802.1407944534822
1101,2025-01-03,1806.369733673867
1102,2025-01-04,1802.1503647541479
1103,2025-01-05,1816.2567258712668
1104,2025-01-06,1813.1600198696287
1105,2025-01-07,1814.9081142885207
1106,2025-01-08,1817.3427966740135
1107,2025-01-09,1817.038354333607
1108,2025-01-10,1818.7973977607207
1109,2025-01-11,1811.8900709200798
1110,2025-01-12,1823.135926323618
1111,2025-01-13,1817.056353120898
1112,2025-01-14,1815.7529147060295
1113,2025-01-15,1815.1233458304273
1114,2025-01-16,1811.7988105058355
1115,2025-01-17,1810.6383738569639
1116,2025-01-18,1800.9668659536144
1117,2025-01-19,1809.6554503636887
1118,2025-01-20,1801.2728195048483
1119,2025-01-21,1797.9624052830743
1120,2025-01-22,1795.6573842666382
1121,2025-01-23,1791.017104423331
1122,2025-01-24,1788.9209081132094
1123,2025-01-25,1778.7055461095028
1124,2025-01-26,1787.2455068858806
1125,2025-01-27,1779.1041891903706
1126,2025-01-28,1776.411306619002
1127,2025-01-29,1775.0782979388816
1128,2025-01-30,1771.7353591126055
1129,2025-01-31,1771.2260553649642
1130,2025-02-01,1762.8456868729454
1131,2025-02-02,1773.4227068651028
1132,2025-02-03,1767.47109111693
1133,2025-02-04,1767.0690157293343
1134,2025-02-05,1768.0755831746708
1135,2025-02-06,1767.0691777716954
1136,2025-02-07,1768.8433740446662
1137,2025-02-08,1762.646537510761
1138,2025-02-09,1775.2643843991557
